title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
Ophelia [Extreme],st4,9dd20fc49c9a5f5ce9cd6ac5fdb3e68c,5847eeedc568e876e882968587939268c04bc3fd78d40ae8f77675469d6c340a,0.334,1.370,2.998,True
boxiv! on! fight! [or! flight!],st2,9df6c993453aae1bc08b5272c15bf436,936ddc1ad51f092d6e41a943c8e6eb818cda0b80e9424488851b08ce18c02a98,0.248,0.900,4.589,True
宵桜回廊 [決死],st7,9e20fb74458371fb576843bbe6b44a6d,09c67636ed514bf156d695876bcee93d06fc39eaddcadd40a0fecfe5040cf6b7,1.704,4.128,1.813,True
ハイパーミラクルシューティングスター [Meteor shower],st9,9e66d7aafc73f2ce81bac20de2a73e15,24e233b9016e3396bc30c92e7dfcb49ce7d0fbbcb70ddc0d270f12a2b090d839,2.651,3.953,2.415,True
No namer [Pentagon],st4,9eadc4c8d2b5d0fbcb8db8d2bb8b82e2,b74d901b0a7d76d9052004de263495a309fc9bcebe7d52b86fac5fb7449d1751,0.164,1.538,1.991,True
Pillars of Ash [INSANE],st4,9f046029349759781a84b0ea47fa0c39,985b1facb38af8b5c6e5d66b7e4b7a60db8656eb287d1a5b73553c3d271b0d5d,0.568,1.543,3.469,True
レンダランド -EXTRA BOSS-,st8,9f1aa034e887e925a7779e56874560cf,fb0ba01219712e1932c5b120a1451ba57880a95228bbb7f261973f2e20e6b5ab,2.184,3.027,2.420,True
霧雨魔理沙は独りで嘲う [(^^)OVERDRIVE],st5,9f2963c62b959ff2b0204d5d4c1386b5,3c0d5286ff284d302ce3b82ff101909632b6f92ef09f1cb525304d747352429a,0.429,2.199,2.114,True
new earth [uninhabitable],st5,9f4d2a0b06b010bb375c9904838c04c5,f2160a30e4dd68f686283c108a657ee2dd17ad6226a8b90a0b3861e783edf61e,0.491,1.526,2.423,True
Weaponhuman [Ultimate],st1,9f65db9775f16e4438eccec2036cd43b,866d91479693160bbe12de1a6e42a66bcf19648e12386c4fc2d67b2d8d0b18b5,-0.332,0.153,5.429,True
地獄の業火で焼肉大会！？ [蕪羅亭魔梨威],st8,9f6765080cc37cb4dcd30e96c25dc262,d82a7ee2a0ca1d8bbeb1c7705d2c298d401fa1eb4f38576bf95914a722de7042,1.997,3.230,1.740,True
(´0｀*)♪(≧Σ≦)♪(・ε・。)♪(￣∇￣；)♪（0∀0）=3♪o(･_･θ [SP MARYTHER],st1,9f8df86d3df3af71c44a07edd431527f,9ca5ac843277fed324e9c40970e48457e28e762c776e4b87c86bcf533168ec5e,-0.340,0.402,4.140,True
Skydive [-------],st4,9fd9efcd6a4de3716eceef82d44b640f,29181f28f24979f6b515fbdc5814a5efdc62d5d496a206f27cc86e9901e76f6e,0.735,0.990,2.797,True
Ad astra itur ≡☆ [Gentle but Cruel],st3,a01fa776de3781be281a6dc134e920b2,e56f4453962762521859d4a2ee8a3d1891254040e682104e387f899131b1f1d5,0.337,1.221,6.745,True
